adv_ID,Radio,Newspaper,Actress,Social,tv fatturato,radio fatturato,social fatturato,paper fatturato,Sales,TV,Actor
1,37.8,69.2,No,218595,9503000,3978000,6409000,2210000,22.1,230.1,No
2,39.3,45.1,Yes,42275,4472000,1872000,3016000,1040000,10.4,44.5,Yes
3,45.9,69.3,No,16340,5160000,2160000,3480000,1200000,12.0,17.2,No
4,41.3,58.5,No,143925,7095000,2970000,4785000,1650000,16.5,151.5,No
5,10.8,58.4,No,171760,7697000,3222000,5191000,1790000,17.9,180.8,No
6,48.9,75.0,No,8265,3096000,1296000,2088000,720000,7.2,8.7,No
7,32.8,23.5,No,54625,5074000,2124000,3422000,1180000,11.8,57.5,No
8,19.6,11.6,Yes,114190,5676000,2376000,3828000,1320000,13.2,120.2,Yes
9,2.1,1.0,No,8170,2064000,864000,1392000,480000,4.8,8.6,No
10,2.6,21.2,Yes,189810,6708000,2808000,4524000,1560000,15.6,199.8,Yes
11,5.8,24.2,No,62795,5418000,2268000,3654000,1260000,12.6,66.1,No
12,24.0,4.0,No,203965,7482000,3132000,5046000,1740000,17.4,214.7,No
13,35.1,65.9,Yes,22610,3956000,1656000,2668000,920000,9.2,23.8,Yes
14,7.6,7.2,No,92625,5891000,2466000,3973000,1370000,13.7,97.5,No
15,32.9,46.0,No,193895,8170000,3420000,5510000,1900000,19.0,204.1,No
16,47.7,52.9,Yes,185630,9632000,4032000,6496000,2240000,22.4,195.4,Yes
17,36.6,114.0,Yes,64410,5375000,2250000,3625000,1250000,12.5,67.8,Yes
18,39.6,55.8,No,267330,10492000,4392000,7076000,2440000,24.4,281.4,No
19,20.5,18.3,No,65740,4859000,2034000,3277000,1130000,11.3,69.2,No
20,23.9,19.1,Yes,139935,6278000,2628000,4234000,1460000,14.6,147.3,Yes
21,27.7,53.4,Yes,207480,7740000,3240000,5220000,1800000,18.0,218.4,Yes
22,5.1,23.5,Yes,225530,7525000,3150000,5075000,1750000,17.5,237.4,Yes
23,15.9,49.6,No,12540,2408000,1008000,1624000,560000,5.6,13.2,No
24,16.9,26.2,No,216885,8815000,3690000,5945000,2050000,20.5,228.3,No
25,12.6,18.3,Yes,59185,4171000,1746000,2813000,970000,9.7,62.3,Yes
26,3.5,19.5,No,249755,7310000,3060000,4930000,1700000,17.0,262.9,No
27,29.3,12.6,No,135755,6450000,2700000,4350000,1500000,15.0,142.9,No
28,16.7,22.9,No,228095,8987000,3762000,6061000,2090000,20.9,240.1,No
29,27.1,22.9,No,236360,8127000,3402000,5481000,1890000,18.9,248.8,No
30,16.0,40.8,No,67070,4515000,1890000,3045000,1050000,10.5,70.6,No
31,28.3,43.2,No,278255,9202000,3852000,6206000,2140000,21.4,292.9,No
32,17.4,38.6,Yes,107255,5117000,2142000,3451000,1190000,11.9,112.9,Yes
33,1.5,30.0,No,92340,5676000,2376000,3828000,1320000,13.2,97.2,No
34,20.0,0.3,Yes,252320,7482000,3132000,5046000,1740000,17.4,265.6,Yes
35,1.4,7.4,Yes,90915,5117000,2142000,3451000,1190000,11.9,95.7,Yes
36,4.1,8.5,No,276165,7654000,3204000,5162000,1780000,17.8,290.7,No
37,43.8,5.0,No,253555,10922000,4572000,7366000,2540000,25.4,266.9,No
38,49.4,45.7,No,70965,6321000,2646000,4263000,1470000,14.7,74.7,No
39,26.7,35.1,No,40945,4343000,1818000,2929000,1010000,10.1,43.1,No
40,37.7,32.0,Yes,216600,9245000,3870000,6235000,2150000,21.5,228,Yes
41,22.3,31.6,Yes,192375,7138000,2988000,4814000,1660000,16.6,202.5,Yes
42,33.4,38.7,Yes,168150,7353000,3078000,4959000,1710000,17.1,177,Yes
43,27.7,1.8,No,278920,8901000,3726000,6003000,2070000,20.7,293.6,No
44,8.4,26.4,Yes,196555,7697000,3222000,5191000,1790000,17.9,206.9,Yes
45,25.7,43.3,No,23845,3655000,1530000,2465000,850000,8.5,25.1,No
46,22.5,31.5,Yes,166345,6923000,2898000,4669000,1610000,16.1,175.1,Yes
47,9.9,35.7,Yes,85215,4558000,1908000,3074000,1060000,10.6,89.7,Yes
48,41.5,18.5,No,227905,9976000,4176000,6728000,2320000,23.2,239.9,No
49,15.8,49.9,No,215840,8514000,3564000,5742000,1980000,19.8,227.2,No
50,11.7,36.8,Yes,63555,4171000,1746000,2813000,970000,9.7,66.9,Yes
51,3.1,34.6,No,189810,7052000,2952000,4756000,1640000,16.4,199.8,No
52,9.6,3.6,No,95380,4601000,1926000,3103000,1070000,10.7,100.4,No
53,41.7,39.6,No,205580,9718000,4068000,6554000,2260000,22.6,216.4,No
54,46.2,58.7,Yes,173470,9116000,3816000,6148000,2120000,21.2,182.6,Yes
55,28.8,15.9,Yes,249565,8686000,3636000,5858000,2020000,20.2,262.7,Yes
56,49.4,60.0,No,188955,10191000,4266000,6873000,2370000,23.7,198.9,No
57,28.1,41.4,No,6935,429570000,179820000,289710000,99900000,999.0,7.3,No
58,19.2,16.6,No,129390,5676000,2376000,3828000,1320000,13.2,136.2,No
59,49.6,37.7,Yes,200260,10234000,4284000,6902000,2380000,23.8,210.8,Yes
60,29.5,9.3,No,200165,7912000,3312000,5336000,1840000,18.4,210.7,No
61,2.0,21.4,No,50825,3483000,1458000,2349000,810000,8.1,53.5,No
62,42.7,54.7,No,248235,10406000,4356000,7018000,2420000,24.2,261.3,No
63,15.5,27.3,No,227335,8901000,3726000,6003000,2070000,20.7,239.3,No
64,29.6,8.4,Yes,97565,6020000,2520000,4060000,1400000,14.0,102.7,Yes
65,42.8,28.9,No,124545,6880000,2880000,4640000,1600000,16.0,131.1,No
66,9.3,0.9,Yes,65550,4859000,2034000,3277000,1130000,11.3,69,Yes
67,24.6,2.2,No,29925,4730000,1980000,3190000,1100000,11.0,31.5,No
68,14.5,10.2,No,132335,5762000,2412000,3886000,1340000,13.4,139.3,No
69,27.5,11.0,Yes,225530,8127000,3402000,5481000,1890000,18.9,237.4,Yes
70,43.9,27.2,Yes,205960,9589000,4014000,6467000,2230000,22.3,216.8,Yes
71,30.6,38.7,Yes,189145,7869000,3294000,5307000,1830000,18.3,199.1,Yes
72,14.3,31.7,Yes,104310,5332000,2232000,3596000,1240000,12.4,109.8,Yes
73,33.0,19.3,Yes,25460,3784000,1584000,2552000,880000,8.8,26.8,Yes
74,5.7,31.3,Yes,122930,4730000,1980000,3190000,1100000,11.0,129.4,Yes
75,24.6,13.1,Yes,202730,7310000,3060000,4930000,1700000,17.0,213.4,Yes
76,43.7,89.4,No,16055,3741000,1566000,2523000,870000,8.7,16.9,No
77,1.6,20.7,No,26125,2967000,1242000,2001000,690000,6.9,27.5,No
78,28.5,14.2,Yes,114475,6106000,2556000,4118000,1420000,14.2,120.5,Yes
79,29.9,9.4,No,5130,2279000,954000,1537000,530000,5.3,5.4,No
80,7.7,23.1,No,110200,4730000,1980000,3190000,1100000,11.0,116,No
81,26.7,22.3,Yes,72580,5074000,2124000,3422000,1180000,11.8,76.4,Yes
82,4.1,36.9,Yes,227810,7439000,3114000,5017000,1730000,17.3,239.8,Yes
83,20.3,32.5,Yes,71535,4859000,2034000,3277000,1130000,11.3,75.3,Yes
84,44.5,35.6,No,64980,5848000,2448000,3944000,1360000,13.6,68.4,No
85,43.0,33.8,Yes,202825,9331000,3906000,6293000,2170000,21.7,213.5,Yes
86,18.4,65.7,Yes,183540,8686000,3636000,5858000,2020000,20.2,193.2,Yes
87,27.5,16.0,Yes,72485,5160000,2160000,3480000,1200000,12.0,76.3,Yes
88,40.6,63.2,Yes,105165,6880000,2880000,4640000,1600000,16.0,110.7,Yes
89,25.5,73.4,Yes,83885,5547000,2322000,3741000,1290000,12.9,88.3,Yes
90,47.8,51.4,Yes,104310,7181000,3006000,4843000,1670000,16.7,109.8,Yes
91,4.9,9.3,Yes,127585,6020000,2520000,4060000,1400000,14.0,134.3,Yes
92,1.5,33.0,No,28028,3139000,1314000,2117000,730000,7.3,28.6,No
93,33.5,59.0,Yes,213346,8342000,3492000,5626000,1940000,19.4,217.7,Yes
94,36.5,72.3,Yes,245882,9546000,3996000,6438000,2220000,22.2,250.9,Yes
95,14.0,10.9,No,105252,4945000,2070000,3335000,1150000,11.5,107.4,No
96,31.6,52.9,Yes,160034,7267000,3042000,4901000,1690000,16.9,163.3,Yes
97,3.5,5.9,No,193648,7181000,3006000,4843000,1670000,16.7,197.6,No
98,21.0,22.0,No,181202,8815000,3690000,5945000,2050000,20.5,184.9,No
99,42.3,51.2,Yes,283906,10922000,4572000,7366000,2540000,25.4,289.7,Yes
100,41.7,45.9,Yes,132496,7396000,3096000,4988000,1720000,17.2,135.2,Yes
101,4.3,49.8,Yes,217952,7181000,3006000,4843000,1670000,16.7,222.4,Yes
102,36.3,100.9,Yes,290472,10234000,4284000,6902000,2380000,23.8,296.4,Yes
103,10.1,21.4,No,274596,8514000,3564000,5742000,1980000,19.8,280.2,No
104,17.2,17.9,No,184142,8471000,3546000,5713000,1970000,19.7,187.9,No
105,34.3,5.3,Yes,233436,8901000,3726000,6003000,2070000,20.7,238.2,Yes
106,46.4,59.0,No,135142,6450000,2700000,4350000,1500000,15.0,137.9,No
107,11.0,29.7,No,24500,3096000,1296000,2088000,720000,7.2,25,No
108,0.3,23.2,Yes,88592,5160000,2160000,3480000,1200000,12.0,90.4,Yes
109,0.4,25.6,Yes,12838,2279000,954000,1537000,530000,5.3,13.1,Yes
110,26.9,5.5,No,250292,8514000,3564000,5742000,1980000,19.8,255.4,No
111,8.2,56.5,No,221284,7912000,3312000,5336000,1840000,18.4,225.8,No
112,38.0,23.2,No,236866,9374000,3924000,6322000,2180000,21.8,241.7,No
113,15.4,2.4,Yes,172186,7353000,3078000,4959000,1710000,17.1,175.7,Yes
114,20.6,10.7,Yes,205408,8987000,3762000,6061000,2090000,20.9,209.6,Yes
115,46.8,34.5,No,76636,6278000,2628000,4234000,1460000,14.6,78.2,No
116,35.0,52.7,No,73598,5418000,2268000,3654000,1260000,12.6,75.1,No
117,14.3,25.6,No,136416,5246000,2196000,3538000,1220000,12.2,139.2,No
118,0.8,14.8,Yes,74872,4042000,1692000,2726000,940000,9.4,76.4,Yes
119,36.9,79.2,No,123186,6837000,2862000,4611000,1590000,15.9,125.7,No
120,16.0,22.3,Yes,19012,2838000,1188000,1914000,660000,6.6,19.4,Yes
121,26.8,46.2,No,138474,6665000,2790000,4495000,1550000,15.5,141.3,No
122,21.7,50.4,Yes,18424,3010000,1260000,2030000,700000,7.0,18.8,Yes
123,2.4,15.6,Yes,219520,7138000,2988000,4814000,1660000,16.6,224,Yes
124,34.6,12.4,Yes,120638,6536000,2736000,4408000,1520000,15.2,123.1,Yes
125,32.3,74.2,No,224910,8471000,3546000,5713000,1970000,19.7,229.5,No
126,11.8,25.9,Yes,85456,4558000,1908000,3074000,1060000,10.6,87.2,Yes
127,38.9,50.6,No,7644,2838000,1188000,1914000,660000,6.6,7.8,No
128,0.0,9.2,Yes,78596,5117000,2142000,3451000,1190000,11.9,80.2,Yes
129,49.0,3.2,Yes,215894,10621000,4446000,7163000,2470000,24.7,220.3,Yes
130,12.0,43.1,Yes,58408,4171000,1746000,2813000,970000,9.7,59.6,Yes
131,39.6,8.7,Yes,686,688000,288000,464000,160000,1.6,0.7,Yes
132,2.9,43.0,Yes,259896,7611000,3186000,5133000,1770000,17.7,265.2,Yes
133,27.2,2.1,Yes,8232,2451000,1026000,1653000,570000,5.7,8.4,Yes
134,33.5,45.1,No,215404,8428000,3528000,5684000,1960000,19.6,219.8,No
135,38.6,65.6,Yes,36162,4644000,1944000,3132000,1080000,10.8,36.9,Yes
136,47.0,8.5,Yes,47334,4988000,2088000,3364000,1160000,11.6,48.3,Yes
137,39.0,9.3,No,25088,4085000,1710000,2755000,950000,9.5,25.6,No
138,28.9,59.7,No,268226,8944000,3744000,6032000,2080000,20.8,273.7,No
139,25.9,20.5,Yes,42140,4128000,1728000,2784000,960000,9.6,43,Yes
140,43.9,1.7,Yes,181202,8901000,3726000,6003000,2070000,20.7,184.9,Yes
141,17.0,12.9,No,71932,4687000,1962000,3161000,1090000,10.9,73.4,No
142,35.4,75.6,Yes,189826,8256000,3456000,5568000,1920000,19.2,193.7,Yes
143,33.2,37.9,Yes,205065,8643000,3618000,5829000,2010000,20.1,220.5,Yes
144,5.7,34.4,No,97278,4472000,1872000,3016000,1040000,10.4,104.6,No
145,14.8,38.9,Yes,89466,5289000,2214000,3567000,1230000,12.3,96.2,Yes
146,1.9,9.0,Yes,130479,4429000,1854000,2987000,1030000,10.3,140.3,Yes
147,7.3,8.7,No,223293,7826000,3276000,5278000,1820000,18.2,240.1,No
148,49.0,44.3,No,226176,10922000,4572000,7366000,2540000,25.4,243.2,No
149,40.3,11.9,No,35340,4687000,1962000,3161000,1090000,10.9,38,No
150,25.8,20.6,No,41571,4343000,1818000,2929000,1010000,10.1,44.7,No
151,13.9,37.0,No,261051,6923000,2898000,4669000,1610000,16.1,280.7,No
152,8.4,48.7,Yes,112530,4988000,2088000,3364000,1160000,11.6,121,Yes
153,23.3,14.2,Yes,183768,7138000,2988000,4814000,1660000,16.6,197.6,Yes
154,39.7,37.7,No,159309,6880000,2880000,4640000,1600000,16.0,171.3,No
155,21.1,9.5,No,174654,8858000,3708000,5974000,2060000,20.6,187.8,No
156,11.6,5.7,No,3813,1376000,576000,928000,320000,3.2,4.1,No
157,43.5,50.5,Yes,87327,6579000,2754000,4437000,1530000,15.3,93.9,Yes
158,1.3,24.3,Yes,139314,4343000,1818000,2929000,1010000,10.1,149.8,Yes
159,36.9,45.2,No,10881,3139000,1314000,2117000,730000,7.3,11.7,No
160,18.4,34.6,Yes,122481,5547000,2322000,3741000,1290000,12.9,131.7,Yes
161,18.1,30.7,No,160425,7052000,2952000,4756000,1640000,16.4,172.5,No
162,35.8,49.3,No,79701,5719000,2394000,3857000,1330000,13.3,85.7,No
163,18.1,25.6,No,175212,8557000,3582000,5771000,1990000,19.9,188.4,No
164,36.8,7.4,No,152055,7740000,3240000,5220000,1800000,18.0,163.5,No
165,14.7,5.4,Yes,108996,5117000,2142000,3451000,1190000,11.9,117.2,Yes
166,3.4,84.8,Yes,218085,7267000,3042000,4901000,1690000,16.9,234.5,Yes
167,37.6,21.6,Yes,16647,3440000,1440000,2320000,800000,8.0,17.9,Yes
168,5.2,19.4,No,192324,7396000,3096000,4988000,1720000,17.2,206.8,No
169,23.6,57.6,No,200322,7353000,3078000,4959000,1710000,17.1,215.4,No
170,10.6,6.4,Yes,264399,8600000,3600000,5800000,2000000,20.0,284.3,Yes
171,11.6,18.4,No,46500,3612000,1512000,2436000,840000,8.4,50,No
172,20.9,47.4,No,152985,7525000,3150000,5075000,1750000,17.5,164.5,No
173,20.1,17.0,Yes,18228,3268000,1368000,2204000,760000,7.6,19.6,Yes
174,7.1,12.8,Yes,156612,7181000,3006000,4843000,1670000,16.7,168.4,Yes
175,3.4,13.1,No,206832,7095000,2970000,4785000,1650000,16.5,222.4,No
176,48.9,41.8,No,257517,11610000,4860000,7830000,2700000,27.0,276.9,No
177,30.2,20.3,Yes,231012,8686000,3636000,5858000,2020000,20.2,248.4,Yes
178,7.8,35.2,Yes,158286,7181000,3006000,4843000,1670000,16.7,170.2,Yes
179,2.3,23.7,Yes,257331,7224000,3024000,4872000,1680000,16.8,276.7,Yes
180,10.0,17.6,Yes,154008,7568000,3168000,5104000,1760000,17.6,165.6,Yes
181,2.6,8.3,Yes,145638,6665000,2790000,4495000,1550000,15.5,156.6,Yes
182,5.4,27.4,Yes,203205,7396000,3096000,4988000,1720000,17.2,218.5,Yes
183,5.7,29.7,Yes,52266,3741000,1566000,2523000,870000,8.7,56.2,Yes
184,43.0,71.8,No,267468,11266000,4716000,7598000,2620000,26.2,287.6,No
185,21.3,30.0,Yes,236034,7568000,3168000,5104000,1760000,17.6,253.8,Yes
186,45.1,19.6,Yes,190650,9718000,4068000,6554000,2260000,22.6,205,Yes
187,2.1,26.6,No,129735,4429000,1854000,2987000,1030000,10.3,139.5,No
188,28.7,18.2,No,177723,7439000,3114000,5017000,1730000,17.3,191.1,No
189,13.9,3.7,No,265980,8987000,3762000,6061000,2090000,20.9,286,No
190,12.1,23.4,No,17391,2881000,1206000,1943000,670000,6.7,18.7,No
191,41.1,5.8,Yes,36735,4644000,1944000,3132000,1080000,10.8,39.5,Yes
192,10.8,6.0,Yes,70215,5117000,2142000,3451000,1190000,11.9,75.5,Yes
193,4.1,31.6,Yes,15996,2537000,1062000,1711000,590000,5.9,17.2,Yes
194,42.0,3.6,No,155124,8428000,3528000,5684000,1960000,19.6,166.8,No
195,35.6,6.0,Yes,139221,7439000,3114000,5017000,1730000,17.3,149.7,Yes
196,3.7,13.8,No,35526,3268000,1368000,2204000,760000,7.6,38.2,No
197,4.9,8.1,No,87606,6020000,2520000,4060000,1400000,14.0,94.2,No
198,9.3,6.4,No,164610,6364000,2664000,4292000,1480000,14.8,177,No
199,42.0,66.2,No,263748,10965000,4590000,7395000,2550000,25.5,283.6,No
200,8.6,8.7,No,215853,7912000,3312000,5336000,1840000,18.4,232.1,No
